2025-04-08 23:59:49 - luong : 5670
2025-04-08 23:59:49 - luong : 5680
2025-04-08 23:59:50 - luong : 5690
2025-04-08 23:59:50 - luong : 5700
2025-04-08 23:59:50 - luong : 5710
2025-04-08 23:59:50 - luong : 5720
2025-04-08 23:59:50 - luong : 5730
2025-04-08 23:59:51 - luong : 5740
2025-04-08 23:59:51 - luong : 5750
2025-04-08 23:59:51 - luong : 5760
2025-04-08 23:59:51 - luong : 5770
2025-04-08 23:59:52 - luong : 5780
2025-04-08 23:59:52 - luong : 5790
2025-04-08 23:59:52 - luong : 5800
2025-04-08 23:59:52 - luong : 5810
2025-04-08 23:59:52 - luong : 5820
2025-04-08 23:59:53 - luong : 5830
2025-04-08 23:59:53 - luong : 5840
2025-04-08 23:59:53 - luong : 5850
2025-04-08 23:59:53 - luong : 5860
2025-04-08 23:59:53 - luong : 5870
2025-04-08 23:59:53 - luong : 5880
2025-04-08 23:59:54 - luong : 5890
2025-04-08 23:59:54 - luong : 5900
2025-04-08 23:59:54 - luong : 5910
2025-04-08 23:59:54 - luong : 5920
2025-04-08 23:59:54 - luong : 5930
2025-04-08 23:59:55 - luong : 5940
2025-04-08 23:59:55 - luong : 5950
2025-04-08 23:59:55 - luong : 5960
2025-04-08 23:59:55 - luong : 5970
2025-04-08 23:59:56 - luong : 5980
2025-04-08 23:59:56 - luong : 5990
2025-04-08 23:59:57 - luong : 6000
2025-04-08 23:59:57 - luong : 6010
2025-04-08 23:59:59 - luong : 6020
2025-04-08 23:59:59 - luong : 6030
2025-04-08 23:59:59 - luong : 6040
2025-04-08 23:59:59 - luong : 6050
2025-04-08 23:59:59 - luong : 6060
2025-04-09 00:00:00 - luong : 6070
2025-04-09 00:00:00 - luong : 6080
2025-04-09 00:00:00 - luong : 6090
2025-04-09 00:00:00 - luong : 6100
2025-04-09 00:00:00 - luong : 6110
2025-04-09 00:00:01 - luong : 6120
2025-04-09 00:00:01 - luong : 6130
2025-04-09 00:00:01 - luong : 6140
2025-04-09 00:00:01 - luong : 6150
2025-04-09 00:00:02 - luong : 6160
2025-04-09 00:00:02 - luong : 6170
2025-04-09 00:00:02 - luong : 6180
2025-04-09 00:00:02 - luong : 6190
2025-04-09 00:00:03 - luong : 6200
2025-04-09 00:00:03 - luong : 6210
2025-04-09 00:00:03 - luong : 6220
2025-04-09 00:00:04 - luong : 6230
2025-04-09 00:00:04 - luong : 6240
2025-04-09 00:00:04 - luong : 6250
2025-04-09 00:00:04 - luong : 6260
2025-04-09 00:00:04 - luong : 6270
2025-04-09 00:00:05 - luong : 6280
2025-04-09 00:00:05 - luong : 6290
2025-04-09 00:00:05 - luong : 6300
2025-04-09 00:00:05 - luong : 6310
2025-04-09 00:00:05 - luong : 6320
2025-04-09 00:00:06 - luong : 6330
2025-04-09 00:00:06 - luong : 6340
2025-04-09 00:00:06 - luong : 6350
2025-04-09 00:00:06 - luong : 6360
2025-04-09 00:00:07 - luong : 6370
2025-04-09 00:00:07 - luong : 6380
2025-04-09 00:00:07 - luong : 6390
2025-04-09 00:00:07 - luong : 6400
2025-04-09 00:00:08 - luong : 6410
2025-04-09 00:00:08 - luong : 6420
2025-04-09 00:00:08 - luong : 6430
2025-04-09 00:00:08 - luong : 6440
2025-04-09 00:00:09 - luong : 6450
2025-04-09 00:00:09 - luong : 6460
2025-04-09 00:00:09 - luong : 6470
2025-04-09 00:00:09 - luong : 6480
2025-04-09 00:00:09 - luong : 6490
2025-04-09 00:00:10 - luong : 6500
2025-04-09 00:00:10 - luong : 6510
2025-04-09 00:00:10 - luong : 6520
2025-04-09 00:00:10 - luong : 6530
2025-04-09 00:00:14 - luong : 6540
2025-04-09 00:00:15 - luong : 6550
2025-04-09 00:00:15 - luong : 6560
2025-04-09 00:00:15 - luong : 6570
2025-04-09 00:00:15 - luong : 6580
2025-04-09 00:00:20 - luong : 6590
2025-04-09 00:00:20 - luong : 6600
2025-04-09 00:00:20 - luong : 6610
2025-04-09 00:00:20 - luong : 6620
2025-04-09 00:00:20 - luong : 6630
2025-04-09 00:00:20 - luong : 6640
2025-04-09 00:00:21 - luong : 6650
2025-04-09 00:00:21 - luong : 6660
2025-04-09 00:00:21 - luong : 6670
2025-04-09 00:00:21 - luong : 6680
2025-04-09 00:00:22 - luong : 6690
